iteration,actuator.PU1,actuator.PU10,actuator.PU11,actuator.PU2,actuator.PU4,actuator.PU5,actuator.PU6,actuator.PU7,actuator.PU8,actuator.PU9,actuator.V2
1,True,False,False,True,False,False,False,True,True,False,False
2,True,False,False,True,False,False,False,True,True,False,False
3,True,False,False,True,True,False,False,True,True,False,True
4,True,False,False,True,True,False,False,True,True,False,True
5,True,False,False,True,True,False,False,True,True,False,True
6,True,False,False,True,True,False,False,True,True,False,True
7,True,False,False,True,True,False,False,True,True,False,True
8,True,False,False,True,True,False,False,True,True,False,True
9,True,False,False,True,True,False,False,True,True,False,True
10,True,False,False,True,True,False,False,True,True,False,True
11,True,True,False,True,True,False,False,True,True,False,True
12,True,True,False,True,True,False,False,True,True,False,True
13,True,True,False,True,True,False,False,True,True,False,True
14,True,True,False,True,True,False,False,True,True,False,True
15,True,True,False,True,True,False,False,True,True,False,True
16,True,True,False,True,True,False,False,True,True,False,True
17,True,True,False,True,True,False,False,True,True,False,True
18,True,True,False,True,True,False,False,True,True,False,True
19,True,True,False,True,True,False,False,True,True,False,True
20,True,True,False,True,True,False,False,True,True,False,True
21,True,True,False,True,True,False,False,True,True,False,True
22,True,True,False,True,True,False,False,True,True,False,True
23,True,True,False,True,True,False,False,True,True,False,True
24,True,True,False,True,True,False,False,True,True,False,True
25,True,True,False,True,True,False,False,True,True,False,True
26,True,True,False,True,True,False,False,True,True,False,True
27,True,True,False,True,True,False,False,True,True,False,True
28,True,True,False,True,True,False,False,True,True,False,True
29,True,True,False,True,True,False,False,True,True,False,True
30,True,True,False,True,True,False,False,True,True,False,True
31,True,True,False,True,True,False,False,True,True,False,True
32,True,True,False,True,True,False,False,True,True,False,True
33,True,True,False,True,True,False,False,True,True,False,True
34,True,True,False,True,True,False,False,True,True,False,True
35,True,True,False,True,True,False,False,True,True,False,True
36,True,True,False,True,True,False,False,True,True,False,True
37,True,True,False,True,True,False,False,True,True,False,True
38,True,True,False,True,True,False,False,True,True,False,True
39,True,True,False,True,True,False,False,True,True,False,True
40,True,True,False,True,True,False,False,True,True,False,True
41,True,True,False,True,True,False,False,True,True,False,True
42,True,True,False,True,True,False,False,True,True,False,True
43,True,True,False,True,True,False,False,True,True,False,True
44,True,True,False,True,True,False,False,True,True,False,True
45,True,True,False,True,True,False,False,True,True,False,True
46,True,True,False,True,True,False,False,True,True,False,True
47,True,True,False,True,True,False,False,False,True,False,True
48,True,True,False,True,True,False,False,False,True,False,True
49,True,True,False,True,True,False,False,False,True,False,True
50,True,True,False,True,True,False,False,False,True,False,True
51,True,True,False,True,True,False,False,False,True,False,True
52,True,True,False,True,True,False,False,False,True,False,True
53,True,True,False,True,True,False,False,False,True,False,True
54,True,True,False,True,True,False,False,False,True,False,True
55,True,False,False,True,True,False,False,False,False,False,True
56,True,False,False,True,False,False,False,False,False,False,True
57,True,False,False,True,False,False,False,False,False,False,True
58,True,False,False,True,False,False,False,False,False,False,True
59,True,False,False,True,False,False,False,False,False,False,True
60,True,False,False,True,False,False,False,False,False,False,True
61,True,False,False,True,False,False,False,False,False,False,True
62,True,False,False,True,False,False,False,False,False,False,True
63,True,False,False,True,False,False,False,False,False,False,True
64,True,False,False,True,False,False,False,False,False,False,True
65,True,False,False,True,False,False,False,False,False,False,True
66,True,False,False,True,False,False,False,False,False,False,True
67,True,False,False,True,False,False,False,False,False,False,True
68,True,False,False,True,False,False,False,False,False,False,True
69,True,False,False,True,False,False,False,False,False,False,True
70,True,False,False,True,False,False,False,False,False,False,True
71,True,False,False,True,False,False,False,False,False,False,True
72,True,False,False,True,False,False,False,False,False,False,True
73,True,False,False,True,False,False,False,False,False,False,True
74,True,False,False,True,False,False,False,False,False,False,True
75,True,False,False,True,False,False,False,True,False,False,True
76,True,False,False,True,False,False,False,True,False,False,True
77,True,False,False,True,False,False,False,True,False,False,True
78,True,False,False,True,False,False,False,True,False,False,True
79,True,False,False,True,False,False,False,True,False,False,True
80,True,False,False,True,False,False,False,True,False,False,True
81,True,False,False,True,False,False,False,True,False,False,True
82,True,False,False,True,False,False,False,True,False,False,True
83,True,False,False,True,False,False,False,True,False,False,True
84,True,False,False,True,False,False,False,True,False,False,True
85,True,False,False,True,False,False,False,True,False,False,True
86,True,False,False,True,False,False,False,True,False,False,True
87,True,False,False,True,False,False,False,True,False,False,True
88,True,False,False,True,False,False,False,True,False,False,True
89,True,False,False,True,False,False,False,True,False,False,True
90,True,False,False,True,False,False,False,True,False,False,True
91,True,False,False,True,False,False,False,True,False,False,True
92,True,False,False,True,False,False,False,True,False,False,True
93,True,False,False,True,False,False,False,True,False,False,True
94,True,False,False,True,False,False,False,True,False,False,True
95,True,False,False,True,False,False,False,True,False,False,True
96,True,False,False,True,False,False,False,True,False,False,True
97,True,True,False,True,False,False,False,True,False,False,True
98,True,True,False,True,False,False,False,True,False,False,True
99,True,True,False,True,False,False,False,True,False,False,True
