iteration,input_physics_iteration,output_physics_iteration,physics_backend,physics_value_count,actuator_count,duration_sec,input_physics_json,output_physics_json,scada_poll_json,scada_downlink_json,actuator_state_json
1,1,2,dhalsim_epynet,30,11,0.46107516303891316,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0001.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0002.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0001.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0001.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0001.json
2,2,3,dhalsim_epynet,30,11,0.3617378950002603,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0002.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0003.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0002.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0002.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0002.json
3,3,4,dhalsim_epynet,30,11,0.36286435305373743,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0003.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0004.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0003.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0003.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0003.json
4,4,5,dhalsim_epynet,30,11,0.36171153298346326,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0004.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0005.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0004.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0004.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0004.json
5,5,6,dhalsim_epynet,30,11,0.3567594260093756,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0005.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0006.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0005.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0005.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0005.json
6,6,7,dhalsim_epynet,30,11,0.35711340996203944,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0006.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0007.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0006.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0006.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0006.json
7,7,8,dhalsim_epynet,30,11,0.35695432103239,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0007.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0008.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0007.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0007.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0007.json
8,8,9,dhalsim_epynet,30,11,0.3576397500000894,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0008.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0009.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0008.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0008.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0008.json
9,9,10,dhalsim_epynet,30,11,0.3567329319776036,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0009.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0010.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0009.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0009.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0009.json
10,10,11,dhalsim_epynet,30,11,0.36202704400056973,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0010.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/physics_0011.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_poll_0010.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/scada_downlink_0010.json,/home/lzh/MASTER/CODE/hydro-cps-sim/examples/c_town/output/runtime/json/actuator_state_0010.json
