iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
1,1,2,0.10344273102236912,0.03586314298445359,0.30043287202715874,0.000568702002055943,0.01605238701449707,0.0012587879900820553,0.0031503280042670667,0.000560368993319571,0.461518464027904,8,11,30
2,2,3,0.005472183984238654,0.04108161199837923,0.30033740698127076,0.0005017939838580787,0.010669507028069347,0.0012232779990881681,0.002190792001783848,0.0007208670140244067,0.362341643020045,8,11,30
3,3,4,0.010626281960867345,0.035950206976849586,0.300422543019522,0.0005696269799955189,0.010865124000702053,0.0012971319956704974,0.002878063009120524,0.0007661869749426842,0.36352277803234756,8,11,30
4,4,5,0.01074527099262923,0.03581857797689736,0.300335152016487,0.0004570509772747755,0.010751136986073107,0.0012566969962790608,0.0020791610004380345,0.0008452600450254977,0.3624403880094178,8,11,30
5,5,6,0.005495088000316173,0.036017700971569866,0.3003422719775699,0.0005067199817858636,0.01076295698294416,0.0012437630211934447,0.002095406991429627,0.0008975110249593854,0.3575344589771703,8,11,30
6,6,7,0.005588944011833519,0.035979479958768934,0.3003370619844645,0.0005373069434426725,0.010804920981172472,0.0015300289960578084,0.002063085965346545,0.001098237989936024,0.35809671599417925,8,11,30
7,7,8,0.005461112014017999,0.03592448297422379,0.30036053800722584,0.0005053509958088398,0.010771897970698774,0.0012885520118288696,0.00237272004596889,0.0014878460206091404,0.3583293170086108,8,11,30
8,8,9,0.005607953004073352,0.03595359204337001,0.3002989429514855,0.0005003089900128543,0.011712206003721803,0.0013004380161873996,0.0020082000410184264,0.0009843799634836614,0.3585169829893857,8,11,30
9,9,10,0.005505045992322266,0.03615939198061824,0.30034309200709686,0.0005372930318117142,0.010692492011003196,0.001193894015159458,0.0020377340260893106,0.0010513260494917631,0.3576728359912522,8,11,30
10,10,11,0.010585445968899876,0.030890306981746107,0.30033761297818273,0.0005039339885115623,0.01595979096600786,0.0012968610390089452,0.002188943966757506,0.001163247972726822,0.3630656899767928,8,11,30
11,11,12,0.005467976036015898,0.036045843036845326,0.30034803500166163,0.00047820701729506254,0.010990400973241776,0.0016517069889232516,0.0037863579927943647,0.0014198299613781273,0.3603638840140775,8,11,30
12,12,13,0.0055568700190633535,0.035901651019230485,0.30035131401382387,0.0005343579687178135,0.015899093996267766,0.001465175999328494,0.0029211720102466643,0.001483589003328234,0.36430819699307904,8,11,30
13,13,14,0.005543814972043037,0.03122245497070253,0.3004688259679824,0.0008176169940270483,0.011441235023085028,0.002573753008618951,0.0024449570337310433,0.0012590300175361335,0.3560114110005088,8,11,30
14,14,15,0.005470892006997019,0.030756733031012118,0.30033510900102556,0.0005088369944132864,0.01072910602670163,0.0012883729650638998,0.0020963949500583112,0.0012792139896191657,0.3526177969761193,8,11,30
15,15,16,0.006044988986104727,0.03655134100699797,0.30047001101775095,0.0007613259949721396,0.011420620023272932,0.0012840440031141043,0.0020990900229662657,0.0018870250205509365,0.36074516404187307,8,11,30
16,16,17,0.005568605032749474,0.030896954995114356,0.3001892149914056,0.00047857395838946104,0.010721726983319968,0.0012048220378346741,0.002034703968092799,0.0013871229602955282,0.3526557679870166,8,11,30
17,17,18,0.005429916025605053,0.04100361402379349,0.30030653602443635,0.0005564719904214144,0.01094090100377798,0.001290084037464112,0.002031120005995035,0.0014197580167092383,0.3631215569912456,8,11,30
