iteration,input_physics_iteration,output_physics_iteration,wait_local_write_sec,wait_scada_downlink_sec,logic_wait_sec,signal_read_actuators_sec,wait_actuator_read_sec,merge_actuator_state_sec,physics_step_publish_sec,write_cycle_logs_sec,cycle_total_sec,local_plc_count,actuator_count,physics_value_count
1,1,2,0.025743,4.059878,0.300319,0.000244,0.010402,0.000630,0.001255,0.000212,4.398763,8,11,30
2,2,3,0.005435,0.030554,0.300315,0.000159,0.010277,0.000410,0.000649,0.000193,0.348049,8,11,30
3,3,4,0.010292,0.025365,0.300333,0.000227,0.010362,0.000431,0.000927,0.000241,0.348245,8,11,30
4,4,5,0.005506,0.025829,0.300434,0.000370,0.010486,0.001020,0.001235,0.000307,0.345270,8,11,30
5,5,6,0.005179,0.030493,0.300316,0.000204,0.005243,0.000365,0.000537,0.000292,0.342684,8,11,30
6,6,7,0.005118,0.030617,0.300030,0.000185,0.010350,0.000394,0.000581,0.000271,0.347597,8,11,30
7,7,8,0.005165,0.030455,0.300330,0.000269,0.010237,0.000341,0.000526,0.000453,0.347827,8,11,30
8,8,9,0.005164,0.030440,0.300258,0.000209,0.010342,0.000364,0.000543,0.000276,0.347647,8,11,30
9,9,10,0.005147,0.025498,0.300313,0.000209,0.010325,0.000548,0.000688,0.000313,0.343093,8,11,30
10,10,11,0.005137,0.025474,0.300319,0.000322,0.010364,0.000395,0.000827,0.000274,0.343167,8,11,30
11,11,12,0.005148,0.030478,0.300200,0.000224,0.010254,0.000391,0.000762,0.000286,0.347792,8,11,30
12,12,13,0.010245,0.020321,0.300265,0.000205,0.010281,0.000388,0.000683,0.000311,0.342753,8,11,30
13,13,14,0.005183,0.030435,0.300313,0.000181,0.005181,0.000368,0.000622,0.000326,0.342660,8,11,30
14,14,15,0.005157,0.025520,0.300028,0.000174,0.010299,0.000350,0.000504,0.000341,0.342445,8,11,30
15,15,16,0.005147,0.030569,0.300315,0.000179,0.005228,0.000342,0.000576,0.000313,0.342719,8,11,30
16,16,17,0.005152,0.030703,0.300037,0.000170,0.005256,0.000296,0.000506,0.000319,0.342486,8,11,30
17,17,18,0.010316,0.025503,0.300319,0.000278,0.005361,0.000797,0.001485,0.000864,0.344997,8,11,30
18,18,19,0.005198,0.030433,0.300280,0.000254,0.010387,0.000595,0.000953,0.000535,0.348696,8,11,30
19,19,20,0.005197,0.030505,0.300330,0.000225,0.010272,0.000341,0.000498,0.000349,0.347769,8,11,30
20,20,21,0.005174,0.030658,0.300337,0.000231,0.005166,0.000351,0.000588,0.000355,0.342921,8,11,30
21,21,22,0.005183,0.030462,0.300313,0.000195,0.010364,0.000349,0.000529,0.000393,0.347831,8,11,30
22,22,23,0.005151,0.030467,0.300328,0.000211,0.010358,0.000444,0.000636,0.000453,0.348103,8,11,30
23,23,24,0.005172,0.035555,0.300315,0.000173,0.010260,0.000330,0.000528,0.000368,0.352758,8,11,30
