iteration,PU1F,PU2F,J280,J269,PU1,PU2,T1,V2,PU4,PU5,PU6,PU7,T2,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,T3,T4,PU8,PU10,PU11,PU8F,PU10F,PU11F,J302,J306,J307,J317,T5,T6,T7
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.200000,2.500000
2,90.691359,90.708648,2.977941,37.935621,1.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,23.633673,72.275494,23.595626,84.108725,41.476267,24.997587,0.000000,0.000000,0.000000,48.330650,3.000000,2.500000,1.000000,0.000000,0.000000,38.169521,0.000000,0.000000,29.259436,85.420589,29.259436,57.587934,1.000000,5.200000,2.500000
3,90.659194,90.676474,2.977955,37.952501,1.000000,1.000000,3.031908,0.000000,0.000000,0.000000,0.000000,1.000000,0.457248,0.000000,23.592619,72.249562,23.554607,84.111634,41.502846,24.956375,0.000000,0.000000,0.000000,48.306901,2.974067,2.519461,1.000000,0.000000,0.000000,38.161994,0.000000,0.000000,29.289812,85.465291,29.289812,57.466403,1.054207,5.170017,2.385116
4,96.097961,96.116812,2.975443,35.068377,1.000000,1.000000,3.063795,1.000000,1.000000,0.000000,0.000000,1.000000,0.414517,107.354806,25.318212,89.188639,25.379655,84.624882,28.418928,27.518927,33.948793,0.000000,0.000000,49.008508,2.948135,2.538855,1.000000,0.000000,0.000000,37.456863,0.000000,0.000000,27.133043,84.636947,27.133043,57.393845,1.108393,5.139771,2.267911
5,96.100553,96.119405,2.975442,35.066988,1.000000,1.000000,3.058341,1.000000,1.000000,0.000000,0.000000,1.000000,0.436098,107.224498,25.335645,89.221595,25.397039,84.645175,28.435211,27.535210,33.939263,0.000000,0.000000,49.006970,2.990989,2.560227,1.000000,0.000000,0.000000,37.439607,0.000000,0.000000,27.131771,84.667836,27.131771,57.271819,1.160674,5.109406,2.153607
6,96.103098,96.121951,2.975441,35.065625,1.000000,1.000000,3.052947,1.000000,1.000000,0.000000,0.000000,1.000000,0.457574,107.094692,25.353010,89.254503,25.414354,84.665433,28.451431,27.551430,33.929867,0.000000,0.000000,49.005414,3.033825,2.581595,1.000000,0.000000,0.000000,37.422363,0.000000,0.000000,27.130530,84.698708,27.130530,57.173295,1.212909,5.078781,2.036917
7,96.105603,96.124457,2.975440,35.064282,1.000000,1.000000,3.047613,1.000000,1.000000,0.000000,0.000000,1.000000,0.478946,106.965437,25.370310,89.287374,25.431605,84.685675,28.467591,27.567590,33.920451,0.000000,0.000000,49.003832,3.076641,2.602958,1.000000,0.000000,0.000000,37.405138,0.000000,0.000000,27.129326,84.729566,27.129326,57.075007,1.265097,5.047967,1.920486
8,96.108069,96.126923,2.975438,35.062961,1.000000,1.000000,3.042337,1.000000,1.000000,0.000000,0.000000,1.000000,0.500212,106.836745,25.387544,89.320209,25.448790,84.705892,28.483689,27.583688,33.911014,0.000000,0.000000,49.002229,3.119438,2.624317,1.000000,0.000000,0.000000,37.387930,0.000000,0.000000,27.128158,84.760410,27.128158,56.976744,1.317238,5.016964,1.804311
9,96.110496,96.129352,2.975437,35.061660,1.000000,1.000000,3.037120,1.000000,1.000000,0.000000,0.000000,1.000000,0.521374,106.708606,25.404714,89.353006,25.465910,84.726091,28.499728,27.599727,33.901558,0.000000,0.000000,49.000600,3.162216,2.645671,1.000000,0.000000,0.000000,37.370741,0.000000,0.000000,27.127026,84.791239,27.127026,56.878510,1.369333,4.985774,1.688390
