iteration,plc,namespace,ip,sensor_written_count,sensor_skipped_count,actuator_count,sensor_skipped,actuator.PLC4_PU10,actuator.PLC4_PU10.coil_index,actuator.PLC4_PU11,actuator.PLC4_PU11.coil_index,actuator.PLC4_PU8,actuator.PLC4_PU8.coil_index,sensor.PLC4_T3,sensor.PLC4_T3.md_index,sensor.PLC4_T4,sensor.PLC4_T4.md_index,tag.PU10,tag.PU11,tag.PU8,sensor.PLC9_T7,sensor.PLC9_T7.md_index,sensor.PLC8_T6,sensor.PLC8_T6.md_index,sensor.PLC7_T5,sensor.PLC7_T5.md_index,sensor.PLC3_J14,sensor.PLC3_J14.md_index,sensor.PLC3_J256,sensor.PLC3_J256.md_index,sensor.PLC3_J289,sensor.PLC3_J289.md_index,sensor.PLC3_J300,sensor.PLC3_J300.md_index,sensor.PLC3_J415,sensor.PLC3_J415.md_index,sensor.PLC3_J422,sensor.PLC3_J422.md_index,sensor.PLC3_PU4F,sensor.PLC3_PU4F.md_index,sensor.PLC3_PU5F,sensor.PLC3_PU5F.md_index,sensor.PLC3_PU6F,sensor.PLC3_PU6F.md_index,sensor.PLC3_PU7F,sensor.PLC3_PU7F.md_index,sensor.PLC3_T2,sensor.PLC3_T2.md_index,sensor.PLC3_V2F,sensor.PLC3_V2F.md_index,actuator.PLC2_PU4,actuator.PLC2_PU4.coil_index,actuator.PLC2_PU5,actuator.PLC2_PU5.coil_index,actuator.PLC2_PU6,actuator.PLC2_PU6.coil_index,actuator.PLC2_PU7,actuator.PLC2_PU7.coil_index,actuator.PLC2_V2,actuator.PLC2_V2.coil_index,sensor.PLC2_T1,sensor.PLC2_T1.md_index,tag.PU4,tag.PU5,tag.PU6,tag.PU7,tag.V2,actuator.PLC1_PU1,actuator.PLC1_PU1.coil_index,actuator.PLC1_PU2,actuator.PLC1_PU2.coil_index,sensor.PLC1_J269,sensor.PLC1_J269.md_index,sensor.PLC1_J280,sensor.PLC1_J280.md_index,sensor.PLC1_PU1F,sensor.PLC1_PU1F.md_index,sensor.PLC1_PU2F,sensor.PLC1_PU2F.md_index,tag.PU1,tag.PU2,sensor.PLC5_J302,sensor.PLC5_J302.md_index,sensor.PLC5_J306,sensor.PLC5_J306.md_index,sensor.PLC5_J307,sensor.PLC5_J307.md_index,sensor.PLC5_J317,sensor.PLC5_J317.md_index,sensor.PLC5_PU10F,sensor.PLC5_PU10F.md_index,sensor.PLC5_PU11F,sensor.PLC5_PU11F.md_index,sensor.PLC5_PU8F,sensor.PLC5_PU8F.md_index
14,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.3778215719109994,3,2.780731561557559,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l source prefix PLC4,True,1,False,2,False,3,True,4,True,0,2.995282327062995,4,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J422,sensor.PLC3_J422.md_index,sensor.PLC3_PU4F,sensor.PLC3_PU4F.md_index,sensor.PLC3_PU5F,sensor.PLC3_PU5F.md_index,sensor.PLC3_PU6F,sensor.PLC3_PU6F.md_index,sensor.PLC3_PU7F,sensor.PLC3_PU7F.md_index,sensor.PLC3_T2,sensor.PLC3_T2.md_index,sensor.PLC3_V2F,sensor.PLC3_V2F.md_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PLC1,ns-plc1,192.168.1.1,4,1,2,PLC2_T1:non-local source prefix PLC2,True,0,True,1,35.12337798115405,5,2.975491838637048,4,95.99528430883304,2,96.0141060278407,3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8947364455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r.PLC3_V2F,sensor.PLC3_V2F.md_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PLC3,ns-plc3,192.168.3.1,12,0,0,,28.585479576534777,7,90.2963223654176,4,25.576423846104845,5,25.516616620801464,3,86.58304515181011,6,27.685478439823505,8,33.39402101274041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PLC9,ns-plc9,192.168.9.1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PLC3,ns-plc3,192.168.3.1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PLC4,ns-plc4,192.168.4.1,2,2,3,PLC7_T5:non-local source prefix PLC7 | PLC9_T7:non-local source prefix PLC9,True,1,False,2,True,0,3.4225375727172462,3,2.830460714595347,4,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
