iteration,poll_md_total,poll_coil_total,poll_error_total,downlink_written_total,downlink_skipped_total,downlink_error_total,downlink.PLC1.error_count,downlink.PLC1.ip,downlink.PLC1.skipped_count,downlink.PLC1.write.PLC2_T1.md_index,downlink.PLC1.write.PLC2_T1.source,downlink.PLC1.write.PLC2_T1.value,downlink.PLC1.written_count,downlink.PLC2.error_count,downlink.PLC2.ip,downlink.PLC2.skipped_count,downlink.PLC2.write.PLC3_T2.md_index,downlink.PLC2.write.PLC3_T2.source,downlink.PLC2.write.PLC3_T2.value,downlink.PLC2.write.PLC4_T3.md_index,downlink.PLC2.write.PLC4_T3.source,downlink.PLC2.write.PLC4_T3.value,downlink.PLC2.write.PLC4_T4.md_index,downlink.PLC2.write.PLC4_T4.source,downlink.PLC2.write.PLC4_T4.value,downlink.PLC2.written_count,downlink.PLC3.error_count,downlink.PLC3.ip,downlink.PLC3.skipped_count,downlink.PLC3.written_count,downlink.PLC4.error_count,downlink.PLC4.ip,downlink.PLC4.skipped_count,downlink.PLC4.write.PLC7_T5.md_index,downlink.PLC4.write.PLC7_T5.source,downlink.PLC4.write.PLC7_T5.value,downlink.PLC4.write.PLC9_T7.md_index,downlink.PLC4.write.PLC9_T7.source,downlink.PLC4.write.PLC9_T7.value,downlink.PLC4.written_count,downlink.PLC5.error_count,downlink.PLC5.ip,downlink.PLC5.skipped_count,downlink.PLC5.written_count,downlink.PLC7.error_count,downlink.PLC7.ip,downlink.PLC7.skipped_count,downlink.PLC7.written_count,downlink.PLC8.error_count,downlink.PLC8.ip,downlink.PLC8.skipped_count,downlink.PLC8.written_count,downlink.PLC9.error_count,downlink.PLC9.ip,downlink.PLC9.skipped_count,downlink.PLC9.written_count,poll.PLC1.coil_count,poll.PLC1.error_count,poll.PLC1.ip,poll.PLC1.md.PLC1_J269,poll.PLC1.md.PLC1_J280,poll.PLC1.md.PLC1_PU1F,poll.PLC1.md.PLC1_PU2F,poll.PLC1.md.PLC2_T1,poll.PLC1.md_count,poll.PLC2.coil_count,poll.PLC2.error_count,poll.PLC2.ip,poll.PLC2.md.PLC2_T1,poll.PLC2.md.PLC3_T2,poll.PLC2.md.PLC4_T3,poll.PLC2.md.PLC4_T4,poll.PLC2.md_count,poll.PLC3.coil_count,poll.PLC3.error_count,poll.PLC3.ip,poll.PLC3.md.PLC3_J14,poll.PLC3.md.PLC3_J256,poll.PLC3.md.PLC3_J289,poll.PLC3.md.PLC3_J300,poll.PLC3.md.PLC3_J415,poll.PLC3.md.PLC3_J422,poll.PLC3.md.PLC3_PU4F,poll.PLC3.md.PLC3_PU5F,poll.PLC3.md.PLC3_PU6F,poll.PLC3.md.PLC3_PU7F,poll.PLC3.md.PLC3_T2,poll.PLC3.md.PLC3_V2F,poll.PLC3.md_count,poll.PLC4.coil_count,poll.PLC4.error_count,poll.PLC4.ip,poll.PLC4.md.PLC4_T3,poll.PLC4.md.PLC4_T4,poll.PLC4.md.PLC7_T5,poll.PLC4.md.PLC9_T7,poll.PLC4.md_count,poll.PLC5.coil_count,poll.PLC5.error_count,poll.PLC5.ip,poll.PLC5.md.PLC5_J302,poll.PLC5.md.PLC5_J306,poll.PLC5.md.PLC5_J307,poll.PLC5.md.PLC5_J317,poll.PLC5.md.PLC5_PU10F,poll.PLC5.md.PLC5_PU11F,poll.PLC5.md.PLC5_PU8F,poll.PLC5.md_count,poll.PLC7.coil_count,poll.PLC7.error_count,poll.PLC7.ip,poll.PLC7.md.PLC7_T5,poll.PLC7.md_count,poll.PLC8.coil_count,poll.PLC8.error_count,poll.PLC8.ip,poll.PLC8.md.PLC8_T6,poll.PLC8.md_count,poll.PLC9.coil_count,poll.PLC9.error_count,poll.PLC9.ip,poll.PLC9.md.PLC9_T7,poll.PLC9.md_count
1,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.5,2,poll:PLC4:PLC4_T3,3.0,3,poll:PLC4:PLC4_T4,2.5,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.0,2,poll:PLC9:PLC9_T7,2.5,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,0.0,0.0,0.0,0.0,3.0,5,0,0,192.168.2.1,3.0,0.5,3.0,2.5,4,0,0,192.168.3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,12,0,0,192.168.4.1,3.0,2.5,1.0,2.5,4,0,0,192.168.5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,192.168.7.1,1.0,1,0,0,192.168.8.1,5.199999809265137,1,0,0,192.168.9.1,2.5,1
2,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.5,2,poll:PLC4:PLC4_T3,3.0,3,poll:PLC4:PLC4_T4,2.5,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.0,2,poll:PLC9:PLC9_T7,2.5,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,37.93561935424805,2.977940559387207,90.69136047363281,90.70864868164062,3.0,5,0,0,192.168.2.1,3.0,0.5,3.0,2.5,4,0,0,192.168.3.1,41.47626495361328,72.27549743652344,23.595626831054688,23.6336727142334,84.10872650146484,24.997587203979492,0.0,0.0,0.0,48.330650329589844,0.5,0.0,12,0,0,192.168.4.1,3.0,2.5,1.0,2.5,4,0,0,192.168.5.1,29.259435653686523,85.42058563232422,29.259435653686523,57.58793258666992,0.0,0.0,38.16952133178711,7,0,0,192.168.7.1,1.0,1,0,0,192.168.8.1,5.199999809265137,1,0,0,192.168.9.1,2.5,1
3,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0319082736968994,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.4572477638721466,2,poll:PLC4:PLC4_T3,2.974067449569702,3,poll:PLC4:PLC4_T4,2.519460916519165,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.0542067289352417,2,poll:PLC9:PLC9_T7,2.3851161003112793,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,37.95249938964844,2.9779551029205322,90.65919494628906,90.67647552490234,3.0,5,0,0,192.168.2.1,3.0319082736968994,0.5,3.0,2.5,4,0,0,192.168.3.1,41.502845764160156,72.24956512451172,23.554607391357422,23.592618942260742,84.11163330078125,24.956375122070312,0.0,0.0,0.0,48.30690002441406,0.4572477638721466,0.0,12,0,0,192.168.4.1,2.974067449569702,2.519460916519165,1.0,2.5,4,0,0,192.168.5.1,29.289812088012695,85.46529388427734,29.289812088012695,57.46640396118164,0.0,0.0,38.16199493408203,7,0,0,192.168.7.1,1.0542067289352417,1,0,0,192.168.8.1,5.170016765594482,1,0,0,192.168.9.1,2.3851161003112793,1
4,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0637946128845215,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.41451653838157654,2,poll:PLC4:PLC4_T3,2.9481348991394043,3,poll:PLC4:PLC4_T4,2.5388550758361816,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.1083930730819702,2,poll:PLC9:PLC9_T7,2.2679104804992676,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06837844848633,2.9754433631896973,96.09796142578125,96.11681365966797,3.0319082736968994,5,0,0,192.168.2.1,3.0637946128845215,0.4572477638721466,2.974067449569702,2.519460916519165,4,0,0,192.168.3.1,28.418928146362305,89.18863677978516,25.379653930664062,25.318212509155273,84.62488555908203,27.5189266204834,33.948795318603516,0.0,0.0,49.008506774902344,0.41451653838157654,107.35480499267578,12,0,0,192.168.4.1,2.9481348991394043,2.5388550758361816,1.0542067289352417,2.3851161003112793,4,0,0,192.168.5.1,27.13304328918457,84.63694763183594,27.13304328918457,57.39384460449219,0.0,0.0,37.45686340332031,7,0,0,192.168.7.1,1.1083930730819702,1,0,0,192.168.8.1,5.139770984649658,1,0,0,192.168.9.1,2.2679104804992676,1
5,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0583410263061523,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.43609824776649475,2,poll:PLC4:PLC4_T3,2.9909894466400146,3,poll:PLC4:PLC4_T4,2.5602269172668457,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.1606743335723877,2,poll:PLC9:PLC9_T7,2.1536073684692383,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.066986083984375,2.9754419326782227,96.10055541992188,96.1194076538086,3.0637946128845215,5,0,0,192.168.2.1,3.0583410263061523,0.41451653838157654,2.9481348991394043,2.5388550758361816,4,0,0,192.168.3.1,28.435211181640625,89.22159576416016,25.39703941345215,25.33564567565918,84.64517211914062,27.53520965576172,33.93926239013672,0.0,0.0,49.0069694519043,0.43609824776649475,107.22449493408203,12,0,0,192.168.4.1,2.9909894466400146,2.5602269172668457,1.1083930730819702,2.2679104804992676,4,0,0,192.168.5.1,27.131771087646484,84.66783905029297,27.131771087646484,57.271820068359375,0.0,0.0,37.439605712890625,7,0,0,192.168.7.1,1.1606743335723877,1,0,0,192.168.8.1,5.109405994415283,1,0,0,192.168.9.1,2.1536073684692383,1
6,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0529470443725586,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.4575744867324829,2,poll:PLC4:PLC4_T3,3.0338246822357178,3,poll:PLC4:PLC4_T4,2.581594705581665,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.2129089832305908,2,poll:PLC9:PLC9_T7,2.036917209625244,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06562423706055,2.975440740585327,96.10309600830078,96.1219482421875,3.0583410263061523,5,0,0,192.168.2.1,3.0529470443725586,0.43609824776649475,2.9909894466400146,2.5602269172668457,4,0,0,192.168.3.1,28.451431274414062,89.25450134277344,25.41435432434082,25.353010177612305,84.66543579101562,27.551429748535156,33.929866790771484,0.0,0.0,49.00541305541992,0.4575744867324829,107.09468841552734,12,0,0,192.168.4.1,3.0338246822357178,2.581594705581665,1.1606743335723877,2.1536073684692383,4,0,0,192.168.5.1,27.130529403686523,84.6987075805664,27.130529403686523,57.17329406738281,0.0,0.0,37.42236328125,7,0,0,192.168.7.1,1.2129089832305908,1,0,0,192.168.8.1,5.078781604766846,1,0,0,192.168.9.1,2.036917209625244,1
7,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.047612428665161,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.4789455831050873,2,poll:PLC4:PLC4_T3,3.0766408443450928,3,poll:PLC4:PLC4_T4,2.6029579639434814,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.26509690284729,2,poll:PLC9:PLC9_T7,1.9204859733581543,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06428146362305,2.9754395484924316,96.10560607910156,96.12445831298828,3.0529470443725586,5,0,0,192.168.2.1,3.047612428665161,0.4575744867324829,3.0338246822357178,2.581594705581665,4,0,0,192.168.3.1,28.46759033203125,89.2873764038086,25.431604385375977,25.370309829711914,84.68567657470703,27.567588806152344,33.92045211791992,0.0,0.0,49.00382995605469,0.4789455831050873,106.96543884277344,12,0,0,192.168.4.1,3.0766408443450928,2.6029579639434814,1.2129089832305908,2.036917209625244,4,0,0,192.168.5.1,27.12932586669922,84.72956848144531,27.12932586669922,57.075008392333984,0.0,0.0,37.40513610839844,7,0,0,192.168.7.1,1.26509690284729,1,0,0,192.168.8.1,5.047966957092285,1,0,0,192.168.9.1,1.9204859733581543,1
8,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.042336940765381,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.5002120733261108,2,poll:PLC4:PLC4_T3,3.1194381713867188,3,poll:PLC4:PLC4_T4,2.624316692352295,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.317238450050354,2,poll:PLC9:PLC9_T7,1.8043110370635986,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06296157836914,2.9754385948181152,96.10807037353516,96.12692260742188,3.047612428665161,5,0,0,192.168.2.1,3.042336940765381,0.4789455831050873,3.0766408443450928,2.6029579639434814,4,0,0,192.168.3.1,28.48369026184082,89.32020568847656,25.448789596557617,25.387544631958008,84.70589447021484,27.583688735961914,33.911014556884766,0.0,0.0,49.002227783203125,0.5002120733261108,106.83674621582031,12,0,0,192.168.4.1,3.1194381713867188,2.624316692352295,1.26509690284729,1.9204859733581543,4,0,0,192.168.5.1,27.128158569335938,84.76040649414062,27.128158569335938,56.97674560546875,0.0,0.0,37.38793182373047,7,0,0,192.168.7.1,1.317238450050354,1,0,0,192.168.8.1,5.016963958740234,1,0,0,192.168.9.1,1.8043110370635986,1
9,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0371203422546387,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.5213744640350342,2,poll:PLC4:PLC4_T3,3.1622161865234375,3,poll:PLC4:PLC4_T4,2.6456711292266846,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.3693333864212036,2,poll:PLC9:PLC9_T7,1.6883900165557861,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06166076660156,2.9754374027252197,96.1104965209961,96.12934875488281,3.042336940765381,5,0,0,192.168.2.1,3.0371203422546387,0.5002120733261108,3.1194381713867188,2.624316692352295,4,0,0,192.168.3.1,28.49972915649414,89.3530044555664,25.465909957885742,25.404714584350586,84.72608947753906,27.599727630615234,33.90155792236328,0.0,0.0,49.0005989074707,0.5213744640350342,106.70860290527344,12,0,0,192.168.4.1,3.1622161865234375,2.6456711292266846,1.317238450050354,1.8043110370635986,4,0,0,192.168.5.1,27.127025604248047,84.7912368774414,27.127025604248047,56.878509521484375,0.0,0.0,37.3707389831543,7,0,0,192.168.7.1,1.3693333864212036,1,0,0,192.168.8.1,4.985774517059326,1,0,0,192.168.9.1,1.6883900165557861,1
10,35,0,0,6,0,0,0,192.168.1.1,0,1,poll:PLC2:PLC2_T1,3.0319621562957764,1,0,192.168.2.1,0,1,poll:PLC3:PLC3_T2,0.5424333214759827,2,poll:PLC4:PLC4_T3,3.204974889755249,3,poll:PLC4:PLC4_T4,2.667020797729492,3,0,192.168.3.1,0,0,0,192.168.4.1,0,1,poll:PLC7:PLC7_T5,1.421381950378418,2,poll:PLC9:PLC9_T7,1.5727211236953735,2,0,192.168.5.1,0,0,0,192.168.7.1,0,0,0,192.168.8.1,0,0,0,192.168.9.1,0,0,0,0,192.168.1.1,35.06039047241211,2.975436210632324,96.11286926269531,96.13172149658203,3.0371203422546387,5,0,0,192.168.2.1,3.0319621562957764,0.5213744640350342,3.1622161865234375,2.6456711292266846,4,0,0,192.168.3.1,28.515708923339844,89.3857650756836,25.482967376708984,25.42181968688965,84.74626922607422,27.615707397460938,33.89208221435547,0.0,0.0,48.99895095825195,0.5424333214759827,106.58101654052734,12,0,0,192.168.4.1,3.204974889755249,2.667020797729492,1.3693333864212036,1.6883900165557861,4,0,0,192.168.5.1,27.125930786132812,84.82205200195312,27.125930786132812,56.780303955078125,0.0,0.0,37.35356903076172,7,0,0,192.168.7.1,1.421381950378418,1,0,0,192.168.8.1,4.954399585723877,1,0,0,192.168.9.1,1.5727211236953735,1
