iteration,PLC9.PLC9_T7,PLC4.PLC4_T3,PLC4.PLC4_T4,PLC7.PLC7_T5,PLC8.PLC8_T6
1,2.500000,3.000000,2.500000,1.000000,5.200000
2,2.500000,3.000000,2.500000,1.000000,5.200000
3,2.385116,2.974067,2.519461,1.054207,5.170017
4,2.267910,2.948135,2.538855,1.108393,5.139771
5,2.153607,2.990989,2.560227,1.160674,5.109406
6,2.036917,3.033825,2.581595,1.212909,5.078782
7,1.920486,3.076641,2.602958,1.265097,5.047967
8,1.804311,3.119438,2.624317,1.317238,5.016964
9,1.688390,3.162216,2.645671,1.369333,4.985775
10,1.572721,3.204975,2.667021,1.421382,4.954400
11,1.457302,3.247715,2.688366,1.473384,4.922842
12,1.342131,3.290435,2.709706,1.525340,4.891101
13,1.389577,3.333085,2.730967,1.571705,4.911776
14,1.453211,3.377822,2.780732,1.626053,4.936236
15,1.514478,3.422538,2.830461,1.680350,4.960720
16,1.575594,3.467233,2.880154,1.734596,4.985247
17,1.636560,3.511907,2.929813,1.788792,5.009818
18,1.697377,3.556561,2.979436,1.842937,5.034431
19,1.758044,3.601193,3.029024,1.897031,5.059087
20,1.818563,3.645805,3.078576,1.951075,5.083786
21,1.878935,3.690396,3.128093,2.005069,5.108526
22,1.939159,3.734965,3.177574,2.059012,5.133308
23,1.999236,3.779514,3.227020,2.112905,5.158132
24,2.059168,3.824041,3.276430,2.166748,5.182996
25,2.118953,3.868547,3.325804,2.220540,5.207902
26,2.182853,3.914925,3.376746,2.277126,5.233445
27,2.245021,3.961282,3.427651,2.333659,5.259017
28,2.307039,4.007616,3.478519,2.390141,5.284631
29,2.368908,4.053927,3.529350,2.446570,5.310287
30,2.430629,4.100217,3.580144,2.502949,5.335985
31,2.492203,4.146484,3.630901,2.559275,5.361724
32,2.553628,4.192729,3.681622,2.615549,5.387505
33,2.614908,4.238952,3.732305,2.671772,5.413326
34,2.676040,4.285151,3.782951,2.727944,5.439188
35,2.737028,4.331329,3.833560,2.784064,5.465090
36,2.797870,4.377484,3.884132,2.840132,5.491033
37,2.818912,4.393476,3.901650,2.859551,5.500000
38,2.877151,4.423613,3.934659,2.896302,5.500000
39,2.996173,4.471873,4.003202,2.962602,5.500000
40,3.113713,4.520112,4.071692,3.028846,5.500000
41,3.231062,4.568327,4.140126,3.095034,5.500000
42,3.348222,4.616519,4.208505,3.161168,5.500000
43,3.465193,4.664690,4.276831,3.227247,5.500000
44,3.581974,4.712837,4.345101,3.293270,5.500000
45,3.698566,4.760961,4.413317,3.359239,5.500000
46,3.814969,4.809062,4.481478,3.425153,5.500000
47,3.931183,4.857141,4.549585,3.491012,5.500000
48,4.047209,4.905197,4.617637,3.556816,5.500000
49,4.164307,4.954888,4.553770,3.622627,5.500000
50,4.280073,5.004567,4.489903,3.688386,5.500000
51,4.396657,5.055241,4.430260,3.751196,5.500000
52,4.512130,5.105902,4.370617,3.813958,5.500000
53,4.627424,5.156552,4.310975,3.876674,5.500000
54,4.742540,5.207191,4.251332,3.939343,5.500000
55,4.857478,5.257819,4.191689,4.001966,5.500000
56,4.972238,5.308434,4.132047,4.064541,5.500000
57,4.898057,5.359316,4.072404,4.035043,5.484829
58,4.824169,5.343906,4.012761,4.005545,5.469444
59,4.749427,5.328495,3.953119,3.976046,5.453801
60,4.674983,5.313084,3.893476,3.946548,5.437940
61,4.600832,5.297674,3.833834,3.917050,5.421863
62,4.526970,5.282263,3.774191,3.887551,5.405574
63,4.452105,5.265162,3.715045,3.857334,5.388692
64,4.376506,5.248060,3.655900,3.827116,5.371572
65,4.301186,5.230958,3.596754,3.796898,5.354249
66,4.226140,5.213856,3.537609,3.766680,5.336725
67,4.151363,5.196754,3.478463,3.736463,5.319002
68,4.076853,5.179653,3.419317,3.706245,5.301084
69,4.002606,5.162551,3.360172,3.676028,5.282972
70,3.928617,5.145449,3.301027,3.645810,5.264670
71,3.854884,5.128348,3.241881,3.615592,5.246181
72,3.781403,5.111246,3.182735,3.585374,5.227507
73,3.708171,5.094144,3.123590,3.555157,5.208650
74,3.635184,5.077043,3.064445,3.524939,5.189612
75,3.539873,5.057498,2.986171,3.491364,5.166486
76,3.443399,5.037954,2.907893,3.457789,5.143120
77,3.349050,5.018410,2.968124,3.424214,5.119608
78,3.253109,4.998865,3.028329,3.390640,5.095850
79,3.157433,4.979321,3.088507,3.357065,5.071898
80,3.062019,4.959777,3.148658,3.323490,5.047752
81,2.966866,4.940232,3.208783,3.289915,5.023416
82,2.871969,4.920688,3.268881,3.256340,4.998891
83,2.777327,4.901144,3.328952,3.222765,4.974179
84,2.682937,4.881599,3.388996,3.189190,4.949282
85,2.588795,4.862055,3.449013,3.155616,4.924202
86,2.494901,4.842511,3.509004,3.122041,4.898941
87,2.401056,4.819960,3.563059,3.075996,4.873271
88,2.305866,4.797410,3.617091,3.029952,4.847383
89,2.210919,4.774859,3.671101,2.983907,4.821316
90,2.116211,4.752308,3.725087,2.937863,4.795073
91,2.021740,4.729758,3.779051,2.891818,4.768655
92,1.927505,4.707207,3.832993,2.845773,4.742065
93,1.833503,4.684657,3.886911,2.799729,4.715303
94,1.739732,4.662106,3.940806,2.753685,4.688373
95,1.646189,4.639555,3.994679,2.707640,4.661274
96,1.552873,4.617005,4.048529,2.661596,4.634008
97,1.459781,4.594454,4.102355,2.615551,4.606578
98,1.366912,4.571904,4.156159,2.569507,4.578985
99,1.412040,4.545219,4.201169,2.515789,4.601478
