iteration,plc,variable,value,source,direction,kind,timestamp_epoch
1,PLC1,PLC1_J269,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC1,PLC1_J280,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC1,PLC1_PU1F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC1,PLC1_PU2F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC2,PLC2_T1,3.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J14,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J256,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J289,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J300,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J415,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_J422,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_PU4F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_PU5F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_PU6F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_PU7F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_T2,0.500000,modbus_poll,response,md,1779946579.256079
1,PLC3,PLC3_V2F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC4,PLC4_T3,3.000000,modbus_poll,response,md,1779946579.256079
1,PLC4,PLC4_T4,2.500000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_J302,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_J306,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_J307,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_J317,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_PU10F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_PU11F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC5,PLC5_PU8F,0.000000,modbus_poll,response,md,1779946579.256079
1,PLC7,PLC7_T5,1.000000,modbus_poll,response,md,1779946579.256079
1,PLC8,PLC8_T6,5.200000,modbus_poll,response,md,1779946579.256079
1,PLC9,PLC9_T7,2.500000,modbus_poll,response,md,1779946579.256079
2,PLC1,PLC1_J269,37.935619,modbus_poll,response,md,1779946579.606743
2,PLC1,PLC1_J280,2.977941,modbus_poll,response,md,1779946579.606743
