iteration,PLC1.PLC1_J269,PLC1.PLC1_J280,PLC1.PLC1_PU1F,PLC1.PLC1_PU2F,PLC2.PLC2_T1,PLC3.PLC3_J14,PLC3.PLC3_J256,PLC3.PLC3_J289,PLC3.PLC3_J300,PLC3.PLC3_J415,PLC3.PLC3_J422,PLC3.PLC3_PU4F,PLC3.PLC3_PU5F,PLC3.PLC3_PU6F,PLC3.PLC3_PU7F,PLC3.PLC3_T2,PLC3.PLC3_V2F,PLC4.PLC4_T3,PLC4.PLC4_T4,PLC5.PLC5_J302,PLC5.PLC5_J306,PLC5.PLC5_J307,PLC5.PLC5_J317,PLC5.PLC5_PU10F,PLC5.PLC5_PU11F,PLC5.PLC5_PU8F,PLC7.PLC7_T5,PLC8.PLC8_T6,PLC9.PLC9_T7
1,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,3.000000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.200000,2.500000
2,37.935619,2.977941,90.691360,90.708649,3.000000,41.476265,72.275497,23.595627,23.633673,84.108727,24.997587,0.000000,0.000000,0.000000,48.330650,0.500000,0.000000,3.000000,2.500000,29.259436,85.420586,29.259436,57.587933,0.000000,0.000000,38.169521,1.000000,5.200000,2.500000
3,37.952499,2.977955,90.659195,90.676476,3.031908,41.502846,72.249565,23.554607,23.592619,84.111633,24.956375,0.000000,0.000000,0.000000,48.306900,0.457248,0.000000,2.974067,2.519461,29.289812,85.465294,29.289812,57.466404,0.000000,0.000000,38.161995,1.054207,5.170017,2.385116
4,35.068378,2.975443,96.097961,96.116814,3.063795,28.418928,89.188637,25.379654,25.318213,84.624886,27.518927,33.948795,0.000000,0.000000,49.008507,0.414517,107.354805,2.948135,2.538855,27.133043,84.636948,27.133043,57.393845,0.000000,0.000000,37.456863,1.108393,5.139771,2.267910
5,35.066986,2.975442,96.100555,96.119408,3.058341,28.435211,89.221596,25.397039,25.335646,84.645172,27.535210,33.939262,0.000000,0.000000,49.006969,0.436098,107.224495,2.990989,2.560227,27.131771,84.667839,27.131771,57.271820,0.000000,0.000000,37.439606,1.160674,5.109406,2.153607
6,35.065624,2.975441,96.103096,96.121948,3.052947,28.451431,89.254501,25.414354,25.353010,84.665436,27.551430,33.929867,0.000000,0.000000,49.005413,0.457574,107.094688,3.033825,2.581595,27.130529,84.698708,27.130529,57.173294,0.000000,0.000000,37.422363,1.212909,5.078782,2.036917
7,35.064281,2.975440,96.105606,96.124458,3.047612,28.467590,89.287376,25.431604,25.370310,84.685677,27.567589,33.920452,0.000000,0.000000,49.003830,0.478946,106.965439,3.076641,2.602958,27.129326,84.729568,27.129326,57.075008,0.000000,0.000000,37.405136,1.265097,5.047967,1.920486
8,35.062962,2.975439,96.108070,96.126923,3.042337,28.483690,89.320206,25.448790,25.387545,84.705894,27.583689,33.911015,0.000000,0.000000,49.002228,0.500212,106.836746,3.119438,2.624317,27.128159,84.760406,27.128159,56.976746,0.000000,0.000000,37.387932,1.317238,5.016964,1.804311
9,35.061661,2.975437,96.110497,96.129349,3.037120,28.499729,89.353004,25.465910,25.404715,84.726089,27.599728,33.901558,0.000000,0.000000,49.000599,0.521374,106.708603,3.162216,2.645671,27.127026,84.791237,27.127026,56.878510,0.000000,0.000000,37.370739,1.369333,4.985775,1.688390
10,35.060390,2.975436,96.112869,96.131721,3.031962,28.515709,89.385765,25.482967,25.421820,84.746269,27.615707,33.892082,0.000000,0.000000,48.998951,0.542433,106.581017,3.204975,2.667021,27.125931,84.822052,27.125931,56.780304,0.000000,0.000000,37.353569,1.421382,4.954400,1.572721
