iteration,wait_local_write_markers_sec,poll_sec,read_physics_json_sec,downlink_sec,write_scada_csv_sec,write_outputs_and_marker_sec,cycle_total_sec,poll_md_total,poll_coil_total,poll_error_total,downlink_written_total,downlink_skipped_total,downlink_error_total
1,1.6689328819629736,0.018160074017941952,0.00021241698414087296,0.012763751030433923,0.0010935330064967275,0.00035433395532891154,1.7015561369480565,35,0,0,6,0,0
2,0.33553598797880113,0.01606110599823296,0.0002592290402390063,0.013441933959256858,0.0012577950255945325,0.00037666200660169125,0.3669799110502936,35,0,0,6,0,0
3,0.3300333439838141,0.01647079800022766,0.0004094860050827265,0.014113729004748166,0.001529244997072965,0.0004302340094000101,0.3630538040306419,35,0,0,6,0,0
4,0.3317584460019134,0.0172973700100556,0.0004166970029473305,0.014251910033635795,0.001932501036208123,0.0006018769927322865,0.36632460600230843,35,0,0,6,0,0
5,0.32327263499610126,0.01668264699401334,0.0004212089697830379,0.0144008609931916,0.0019485130324028432,0.0005329090054146945,0.35732703597750515,35,0,0,6,0,0
6,0.3228431139723398,0.01585669198539108,0.00028174201725050807,0.012780534976627678,0.001299189985729754,0.0005041930126026273,0.3536181920208037,35,0,0,6,0,0
7,0.32754445302998647,0.01709899300476536,0.00026138598332181573,0.012866002973169088,0.0012759380042552948,0.00039991101948544383,0.35952625202480704,35,0,0,6,0,0
8,0.32601718499790877,0.017693296016659588,0.0003970959805883467,0.01421208499232307,0.0020135290105827153,0.0006633779848925769,0.3610605989815667,35,0,0,6,0,0
9,0.3264642059803009,0.01598741498310119,0.0002914720098488033,0.012827650993131101,0.0012885569594800472,0.00041054299799725413,0.3573184100096114,35,0,0,6,0,0
10,0.32701618399005383,0.016394170990679413,0.0002812909660860896,0.012765988009050488,0.001055197964888066,0.00032865203684195876,0.35788829397642985,35,0,0,6,0,0
11,0.33094235497992486,0.01674701803131029,0.00024168100208044052,0.01287811400834471,0.001276694005355239,0.0004065120010636747,0.3625369049841538,35,0,0,6,0,0
12,0.3268578830175102,0.01565957098500803,0.00025339698186144233,0.013013019983191043,0.0010453109862282872,0.0003493559779599309,0.35722835798515007,35,0,0,6,0,0
13,0.3322092689923011,0.015842950029764324,0.0002285619848407805,0.012786053004674613,0.001049181038979441,0.0003630740102380514,0.36252758104819804,35,0,0,6,0,0
14,0.32715832896064967,0.015233436017297208,0.00022922002244740725,0.0119718830101192,0.0010765300248749554,0.00034468399826437235,0.35605535202194005,35,0,0,6,0,0
15,0.3260994529700838,0.016169490991160274,0.00038891000440344214,0.013754082028754056,0.0010697550023905933,0.00033386400900781155,0.35786336101591587,35,0,0,6,0,0
16,0.3254736159578897,0.016128508024848998,0.00028745800955221057,0.012817275011911988,0.0010365769849158823,0.00035752798430621624,0.356151394022163,35,0,0,6,0,0
17,0.32577870099339634,0.018213166971690953,0.0002916250377893448,0.01296161802019924,0.0010655269725248218,0.0003435410326346755,0.3587012239731848,35,0,0,6,0,0
18,0.3272765369620174,0.016538380994461477,0.0002960920101031661,0.012888993951492012,0.001057696994394064,0.00035556801594793797,0.35846174898324534,35,0,0,6,0,0
